file,average_amplitude,average_frequency
s6rof.csv,1.7565305524700856,24.9945139346061
g2rof.csv,1.6439229879686093,24.993032329988846
s7rof.csv,0.4416984049652752,24.992017879948914
s8rof.csv,1.3983682712273897,24.99195624195624
v4rof.csv,1.2332428263500097,24.992040751353073
v5rof.csv,0.6523772578756553,24.985294117647058
g9rof.csv,0.08589188497700656,24.99213094113944
g10rof.csv,0.08902743044200695,24.991909385113267
g11rof.csv,0.11245319403769478,24.992071043450682
g12rof.csv,0.06696193246992342,24.992138364779873
g13rof.csv,0.09356138443952859,24.993084370677735
s14rof.csv,0.07255680374384298,24.99229821318546
s15rof.csv,0.05135402868695501,24.99206349206349
s16rof.csv,0.07506736728805465,24.992417349105246
g2ron.csv,0.11936358676871855,24.992991309223438
s6ron.csv,0.1419552729184101,24.993202827623705
s7ron.csv,0.06859659470769658,24.991979467436632
s8ron.csv,0.0515081669460776,24.992559523809526
v4ron.csv,1.9113398742247065,24.992226368159205
v5ron.csv,0.5052343422239055,24.9931917211329
g9ron.csv,0.06828224772675022,24.994539100043692
g10ron.csv,0.20766235923027454,24.99587049884374
g11ron.csv,0.07875878337257407,24.992145774426636
g12ron.csv,0.06146883436776932,24.993032329988846
g13ron.csv,0.06440972663992028,24.991979467436632
s14ron.csv,0.05244357720345843,24.991971740526647
s15ron.csv,0.07561653355817594,24.991805965257292
s16ron.csv,0.06676974628324085,24.99253285543608
